,employer,link,location,position_title,salary
0,PwC,http://ca.indeed.com/rc/clk?jk=f8e6cee4740a37f7&fccid=5e964c4afc56b180&vjs=3,"Toronto, ON","Analytics, Data Scientist, Associate",
1,Staffinity Inc.,http://ca.indeed.com/cmp/Staffinity-Inc.,,Data Scientist/Machine Learning Engineer,"$80,000 - $120,000 a year"
2,Canadian National Railway,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAI6CbHIHK7ziDV_jOOtLnedsYxrCoPLmdH4-4XVO1DYvRnbqq-KvTCEcz-hJGhRr69QFA__pQuvu_HkVZk5-GbRlRLE_rDUzjBs3pH6Z_UhSr6BInm6AaqPQPPeBISIHuN6KmzLHlzcp66LpV1E-RFIGTN5hC7LQIC8u4pm-EWXagQnI1oAxdhvfF29hyYa0KYHh1wU-o-yOcT2veOtlnUvULQrb6SNw1amF1CKsRASguHkGlTT43PT-R7a9Ql-e6qv3603GXUeiFybPXiYxEPpc3swVYUF3uhJUJKVnJ-H5U_L-Sh5ghqoNhag2Sfupl1KhoHnodu2qWa9AMnQ2pS2sxVMNogynquu3kXXzEbhyjPHAk5FaEWH8asj9_jZKFaBdVT1Ccq7O_qlR-ZXSeGPWvBBVhBNU-806CsOfW94dNN0w2LAVmNmCICeVUFPgga_i6sILDzVbIfRKPE0xAu5A2CqOCwOlnJnidAg4USuWOXbrdx8fG4jXuepjtjFLjTkZ3mkNHmw==&p=2&fvj=0&vjs=3,,Data Scientist,
3,Prodigy Game,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyK--AGwHVJM38gjCgoUUzKbXZ0LaePQ99gWayKepyPDPmtEaB6J0Z0EoXtwsbwHa00tFKn9bbLie_n2YMrCV_sV-58mBijswoAh8DIiwQ-FPsHYc7Tv-EY6Mt-T9Pkj-tOEgtpCXmbc31QxaarWaDx6HZcw9SHc-c_IznENs9GeQzc75VlgvnKdVH0m8X0WOcfM-vwMvnTy0duUoRR1nsM-qx6Tm67EcxzZ1sK2EseW-6ajfQ9sQjYWhvev9Pd0SOyxeCvhldDrRwsgYOzX3T92WJw7_jXrcS1e0g3v0occMO_vAY0EVrq5Ygvr39vrwAW9DfE3Y-4OOWRS6-yymCybSyr0pElsdMt2vlIyD2NfwWS79WxWZLGMACfUMRHfPxXjFAmgLfi03hZSYCkmSq8EYt08MEhDo1eqfGxZgqA-mGzt3H-V9wn4S_2oEWb8RqYZJZW5IBgXiT_1I00ger0KhWxiJQgCiB5EpschyGY60tfHn3_7g9RQm036JkbaCtLbN72ud0kiypmVxTCNCLLlrOH8I1D059vu0LE7wdzR8IgUS2hwAr&p=3&fvj=0&vjs=3,,"Data Scientist, Game",
4,thinkCOMPASS,http://ca.indeed.com/rc/clk?jk=4f95187291fd2fc7&fccid=dd616958bd9ddc12&vjs=3,"Vaughan, ON",Data Scientist,
5,Sun Life Financial,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIC3_tRdl6Kp6H_KxRnRU8blD8s1lCUTMCr_bxcZQ6yF2PU3piIhq4LU9IN4Rxyt4lVGr9VbLU_R_Ut4_AHqMY2AcrzS9FzAdsadpB51DzyexD4erRvuvDjGiw70HfH-_676rh4-1csGsQjZ0FOuHhAbvoQCnj9BRmTKELNATo8j3voEJVKJRY76GMjaVimFA1cBQz3EUCmoGaiUhX62qlHXApdDhL1Fg1rfA-doP3WMyKKixuzfhWaZOvD6tYV3ItHtGJbTC3pOfwVh5oJZv7dkdZmYK1Sl_VZBh-lUizHdjTvCoxlWxb0Sx1R4avTUNAv5VMEyiG9s8jqnZYjLPdmGsAop0ieamdlLOzdk6hpTW1F-xtaOCJy4VthMdlPgGOpSxAIRHEF-7ZMtkhPKNLuvQRrMH_Ea90qcZ3WYLEJJ6JHVfBnDdRekyNdI4cCXz6ymH4qbb0ZCML3gqD7LPOlM&p=5&fvj=0&vjs=3,,Senior Data Scientist,
6,Canadian National Railway,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAI6CbHIHK7ziDV_jOOtLnedsYxrCoPLmdH4-4XVO1DYvRnbqq-KvTCEcz-hJGhRpnwKEfJfzRnH0NyNF4Yb06sjxlifZTsgepzwRu9-SxtwnYBKAi4PcqJlFQJHV_Ucq6KuoCFug5tpC2cYmxzzzfqbhxUmgX-1pnW427R2nNSmYR2qyABbhSuEgiZ8TuoxWPXYDEh49aR1F3vy2g9MY_3ZH_gqBLHJFmLl6aAvf9QOWG4DE2MUbhOEgw_mmKEoyg3IqZmuth2wcdBc3vRdG8kBziVA5lCr2DhTUi-kV3elyXBe2V-IaSPTDYggoMv4xKevLVEpauJo2UlPiXwpHEsd6Zf7VIRUaBJSx4tqY2o280WD3WrXOnBdQBRYQ_SopJcCbsNga0VnPt84mfnJY_B8WrTGUUIHizcBVx7efZZhLx5c-_-rnjchuTibGG52OicsYb4_7gH62jOFgfQksU4MpE1MOfEjZMOBx10kkF9lfd1fdDdqKmXqQGPxAg2vlOzpVfgxd27Q==&p=6&fvj=0&vjs=3,,"Specialist System Design, Data Scientist Machine Learning an...",
7,TELUS,http://ca.indeed.com/rc/clk?jk=b56337f9a96cd34a&fccid=4512634d9e7338a8&vjs=3,"Toronto, ON",Data Scientist - TELUS Digital,
8,Acensi SAS,http://ca.indeed.com/rc/clk?jk=c118d2f7459bfd0c&fccid=baab62ae6ea4c8a2&vjs=3,"Bruxelles, MB",Data Scientist (F/M/X),
9,Prodigy Game,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CyK--AGwHVJM38gjCgoUUzKbXZ0LaePQ99gWayKepyPDPmtEaB6J0Z0EoXtwsbwHbDTI9Cut6djRpTniwVpRFaNT6iFWf_TL3H3c2tS43KSucbtenaQ-GaZa-GdidVBU8R0gg5-FnIZKz14fAaHILyAXW6kvqdvldq3lnVhWrY82JUP2l0BV-DePU2VPA4Spu-PFnZBGw1buGIMejjWe9yS6FlIGWL82efvPPoB8tJqwaW2JD6V4yR18p_cw0MsNuA_tlIbtYSq-8__p1guSUQODJ0HDSIK7txavCMRqisVSRXr0tDpNSwQ_LEvx910EbkDvJE-pOBvOaMySHWCEmn8GsfdmcQ5P4_64bZE7QQUBXV-g8G66-_cRwpyDI6Tsh9APaZENvadei888mOjiLvt1EGdkAUbcuP0SyuF1e5vST2R_QOuRfEVRHi-EIcVO4dc4QEjBJJEbyuGwGNaj17hzL2SnHb0zEZ2ye4yLVTYuVVFxTNbV1gmLFhTBVDyl_jCevWU9blXHUeuU7ePy1hvMKgW28GWceJA5bHIAr_4hPB68H_Bgme&p=9&fvj=0&vjs=3,,"Data Scientist, Sales & Customer Success",
