,employer,estimated_salary,link,location,position_title
0,Société Conseil Groupe LGS,"$65,000 - $120,000 a year",/jobsearch/viewjob/B1WzUSCL08V4fHKqPSuVmt-ScDl3ugjlFPRlx2CYMnf7k03d9vyGxg?ak=data+science&l=,"— Montréal, QC",Architecte de solutions AI
1,Spin Master Ltd,"Estimated: $84,000 - $120,000 a year",/jobsearch/viewjob/CAV4qCvR7aX0DbTTtqlSuqAU6bQ88BTVsNid81YtcoZKZnKGWsohKA?ak=data+science&l=,"— Toronto, ON","Senior Manager, Data Science"
2,MSi Corp (Bell Canada),$60 - $70 an hour,/jobsearch/viewjob/vIutwtUUWteTuDjx9sbKUTlmnWNaZzGj04juNoBYIy0LkxIBiCjE7Q?ak=data+science&l=,"— Montréal, QC",Senior BI Manager
3,Yelp,"Estimated: $64,000 - $87,000 a year",/jobsearch/viewjob/yMpYOTSrFli_UUO9o5DHYfyVuYrsSRx3aTx_aZd48CduOt1CbXHRmQ?ak=data+science&l=,— Remote,Data Analyst (Remote)
4,LeapGrad Corp.,"Estimated: $48,000 - $67,000 a year",/jobsearch/viewjob/yY1D_g2NnZitlS5SYVFUPA06lqFwQ9JuqpeLZB4_MzGiyteMuuFJfw?ak=data+science&l=,"— Toronto, ON",Data Science Intern (New Grads) - Starts November 2020
5,RBC,"Estimated: $82,000 - $110,000 a year",/jobsearch/viewjob/5WvuKS8RHDHbPOUOgcp7UDpTmpdQAkt4z9PDhAUoAuoIV2GZ2Au8Jw?ak=data+science&l=,"— Toronto, ON",Data Analyst - AI
6,Cyber Chasse,"Estimated: $50,000 - $61,000 a year",/jobsearch/viewjob/w6XNjePOuHJPHdLV0DEbxGCA3_BkSPl7JZin0RjhCDLzW1hv6ZFc1Q?ak=data+science&l=,— Canada,Data Science
7,sgsco,"Estimated: $50,000 - $61,000 a year",/jobsearch/viewjob/z7kj74wHWhQjtgayJsHapZMnaCmfI4M6EZAp8-N1B8t4mjP-O1Ln5w?ak=data+science&l=,,Intern - Data Science
8,"Southern Graphics Systems, Canada Co.","Estimated: $77,000 - $110,000 a year",/jobsearch/viewjob/RFn7DKOFpLudLpBTkDvMR5Of6mV_bLm7fmFgCCX4eNoHVShF4_B4xg?ak=data+science&l=,"— Toronto, ON",Intern - Data Science
9,SNC-Lavalin,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/XbiAEWw-WC5S3bMadgwEeXJGHdv9ASKOATw8w0BAyEUc-CGW1qmM4g?ak=data+science&l=,"— Toronto, ON",Data Analyst
10,TD Bank,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/-othLWY66qlDAIcTa-DfOgQ6ho0nFL_ZQRWT6BfcAEg3bzeZ8UjhkA?ak=data+science&l=,,Sr Machine Learning Product Engineer (Layer 6)
11,"Cestar College of Business, Health & Technology","Estimated: $77,000 - $100,000 a year",/jobsearch/viewjob/mTQvZdMcrA3SWSanLDNmzO_NgLQd6zJcHGv3BIb0MfoBXkHpTnAgvw?ak=data+science&l=,"— Toronto, ON",Cloud Computing - Artificial Intelligence Instructor
12,Staffinity Inc.,"$80,000 - $120,000 a year",/jobsearch/viewjob/PNCfJkxcJmiXX4rgJJHYLg9kc3JewysBOvIpKHxY5vm5UxXxELy1sA?ak=data+science&l=,"— Toronto, ON",Data Scientist/Machine Learning Engineer
13,Hatch,"Estimated: $66,000 - $93,000 a year",/jobsearch/viewjob/2ixreIZfvZuCd_FNT745T17WciMoLkgnGjrPFl62F-2MnpufAcwZDA?ak=data+science&l=,"— Mississauga, ON",Data Scientist
14,Vineland Research and Innovation Centre,"Estimated: $66,000 - $93,000 a year",/jobsearch/viewjob/wbpuxx9V1EPM4zbTInoP-2V6eBNuZL-864rdjM4hmkZMuKM2LJ9M7g?ak=data+science&l=,,"Research Scientist, Robotics Machine Learning & Artificial Intelligence"
15,CI Investments Inc,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/acHVbeTd_qCLcmpeXYhWGNRCiPGzjths3aoQeVAt8RCeSlmkTSttjw?ak=data+science&l=,"— Toronto, ON",Data Scientist
16,OGGN Inc.,"Estimated: $87,000 - $120,000 a year",/jobsearch/viewjob/pagg-CAjNdgvu33dq6Y20-ZpdrZzXdhELxy7IMOJ4o6noCTthVYRqA?ak=data+science&l=,— Remote,Data Scientist (AI/ML)
17,TripStack,"Estimated: $64,000 - $85,000 a year",/jobsearch/viewjob/4_iIBjTY9-8gwUl7PcC3jZOC4VXKKRIl5w2GQG50ouyrI5DBeqqGsg?ak=data+science&l=,"— Toronto, ON",Data Scientist
18,Relay Medical Corp.,"Estimated: $45,000 - $58,000 a year",/jobsearch/viewjob/uWy5Rg1iTWxJw7RyPuP_vxuY5hyp33NPuzfm1ZWQmwOuhswQy7YDEA?ak=data+science&l=,"— Etobicoke, ON",Data Science / Machine Vision Intern
19,Sioux Lookout First Nations Health Authority,"Estimated: $45,000 - $58,000 a year",/jobsearch/viewjob/KSwV5TzOOwOW_s_SSW1R3oCMgYYvi5npwOpD1ayu1vyW3pcp8gUAhw?ak=data+science&l=,,Health Data Analyst – ACW
20,Gartner,"Estimated: $65,000 - $96,000 a year",/jobsearch/viewjob/Du-2uGmGPREWL7OthMT4Q0O0DynUYKd2_RebjgR-4wMOQ_QKobQaKw?ak=data+science&l=,"— Quebec City, QC","Specialist, Data Science and Machine Learning Development"
21,DNAstack,"Estimated: $67,000 - $97,000 a year",/jobsearch/viewjob/WSK4PmUonwGRVTCdKS3H9Q4_i8giiAtAsX1vwG4DtEIvcPooIMhFIQ?ak=data+science&l=,"— Toronto, ON",Genomics Data Science Lead
22,Indigo Park,"Estimated: $54,000 - $74,000 a year",/jobsearch/viewjob/u1HDJM62ivb1lR1kQAr3Ys53eNiYdrE3tfwpNA9D5MXYNXI9ydxM9Q?ak=data+science&l=,"— Toronto, ON",Data Scientist
23,Spin Master Ltd,"Estimated: $84,000 - $120,000 a year",/jobsearch/viewjob/CAV4qCvR7aX0DbTTtqlSuqAU6bQ88BTVsNid81YtcoZKZnKGWsohKA?ak=data+science&l=,"— Toronto, ON","Senior Manager, Data Science"
24,Wish,"Estimated: $79,000 - $110,000 a year",/jobsearch/viewjob/SYfI_unzBU3CY7uvAGuoeiTBV8wz2eAZKVm2c0t7dwrJdh6YOwfaWg?ak=data+science&l=,"— Toronto, ON",Data Scientist
25,Yelp,"Estimated: $67,000 - $85,000 a year",/jobsearch/viewjob/amcXVSGIqMtet8qhhtAX6IvHNJ-2LjJUSOxWveMXLukcqvZNPFiCmA?ak=data+science&l=,— Remote,Data Scientist (Remote)
26,Onstream Pipeline Inspection Services Inc.,"Estimated: $58,000 - $79,000 a year",/jobsearch/viewjob/wCEzOGk-MCQVLGXu5rLqYn5wjqmNV80R0pHyUufe5WG3We1ZaEmJ0w?ak=data+science&l=,"— Calgary, AB",Tethered Inspection Senior Data Analyst
27,,"Estimated: $77,000 - $98,000 a year",/jobsearch/viewjob/t7EpuxhA8Txag7j3YZocS1ST1vIhS2XCvUgIMzhy3_P4pJ2Q2VKKzA?ak=data+science&l=,"— Burnaby, BC",Cloud Data Analytics Engineer
28,BRP,"Estimated: $110,000 - $130,000 a year",/jobsearch/viewjob/klYEFmlkQ2DrgByGnnV4Y8vCShzAJNAA9I0b-zhQIlgDP3XI_URxvg?ak=data+science&l=,"— Montréal, QC",Head of Finance – Retail Operations & Marketing Analytics
29,Industry Training Authority,"$70,000 - $90,000 a year",/jobsearch/viewjob/Jx_eDLAyCW8V44VliUcTb-YrB05asYFH4jSin5STbji1D49d_Pc-ow?ak=data+science&l=,"— Richmond, BC",Research & Data Analyst
30,Maya Heat Transfer Technologies,"Estimated: $84,000 - $110,000 a year",/jobsearch/viewjob/AZaqAr2b_oGb-Qi1J1QUr1HqcQc6WnLtHjYYpwn6WZ16oEnMds_UVw?ak=data+science&l=,"— Montréal, QC",Data Analytics Account Manager
31,Prodigy Game,"Estimated: $58,000 - $83,000 a year",/jobsearch/viewjob/PSAS14yUFQckaeW0pS_t7948RZyfOWjNlDgQSEmXmcz8mFfXtMJRow?ak=data+science&l=,"— Oakville, ON","Applied Scientist, Revenue & Modelling"
32,Achievers,"Estimated: $90,000 - $120,000 a year",/jobsearch/viewjob/AxzuFD0EM4_VRZQdcU1aMzQLVfN-TB4Jlf2RufZ-5AHy5FAJSPq2kQ?ak=data+science&l=,"— Toronto, ON",Data Scientist
33,Exiger,"Estimated: $42,000 - $56,000 a year",/jobsearch/viewjob/KHKrdJfYSAqdUqQiTCnCDIcKKV8q1MONX0fkrrW_PuPx6izoMRONUw?ak=data+science&l=,"— Toronto, ON",Junior NLP Data Researcher
34,Lighthouse Labs,$30 - $50 an hour,/jobsearch/viewjob/1nLcoWmQRApmVEBJ3swRUEvZPH7PNBrtAQoKqxUwo_xK4lUUXubUDw?ak=data+science&l=,"— Toronto, ON",Remote PT Data Science Mentor
35,NorthOne,"Estimated: $75,000 - $110,000 a year",/jobsearch/viewjob/Q_PH7-4yWc42FADTwso8OgmXIn_8O1Dd_Qtn_TN4aYLhsoHpsKO0fA?ak=data+science&l=,"— Toronto, ON",Data Scientist
36,Napoleon Products,"Estimated: $62,000 - $90,000 a year",/jobsearch/viewjob/o9LPBlM9zPHeAf36sDxVx5WndSMSspQYOrUplt_Wgc1QiUyyqZjKmA?ak=data+science&l=,"— Barrie, ON",BI Data Analyst
37,Visual Defence Inc,"$45,000 - $55,000 a year",/jobsearch/viewjob/HBRcsGce9vz--_8ju-FicwLH9tJ2kVB1ra1qYGx1EGIWM7LjA_CjQQ?ak=data+science&l=,"— Richmond Hill, ON",Junior Data Scientist
38,QuadReal,"Estimated: $61,000 - $80,000 a year",/jobsearch/viewjob/6DWzSdip758tzuJmI9eDb-tdV-onIBMbCNiIw3eTenvbivwsx8mKNg?ak=data+science&l=,"— Toronto, ON","Intern, Data Scientist"
39,Bell Canada,"Estimated: $61,000 - $85,000 a year",/jobsearch/viewjob/EjW52B1ng8-YB7cAk_dpUMrJ3GvYh9bsLQjmKN4k2GhhANlIVY0qHQ?ak=data+science&l=,"— Montréal, QC","Developer, Machine Learning Engineering Python"
